Estab	http://userannotation/na	School Name	http://dbpedia.org/page/Category:Schools	Type	http://dbpedia.org/page/Category:School_types	Phase		Education Area	http://userannotation/na	District Area	http://userannotation/na	2008_A_SchoolAction	http://userannotation/na	2008_P_SchoolActionPlus	http://userannotation/na	2008_Statemented	http://userannotation/na	2009_A_SchoolAction	http://userannotation/na	2009_P_SchoolActionPlus	http://userannotation/na	2009_Statemented	http://userannotation/na	2010_A_SchoolAction	http://userannotation/na	2010_P_SchoolActionPlus	http://userannotation/na	2010_Statemented	http://userannotation/na
3101		All Saints C.Of E. Primary School, Nuneaton		Primary	http://dbpedia.org/page/Primary_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	19,9		13		2,7		10,5		13,3		2,1		9,6		10,3		1,4	
3002		Alveston C.Of E. Primary School		Primary		Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	9,5		3,6		4,4		6,7		6		3,4		13,3		3,6		3	
2630		Arden Forest Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	5,5		3,7		1,8		7,1		5,3		0,6		5,7		5,1		0,6	
2004		Arden Hill Infant School		Infant		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	16,9		3,9		0		8,2		2,2		1,1		13,7		4,6		1,7	
5401		Ash Green School and Arts College	http://dbpedia.org/page/Ash_Green_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	13,5		2,7		4,6		13,7		4,3		3,5		16,4		5,8		2,6	
4241		Ashlawn School	http://dbpedia.org/page/Ashlawn_School	Secondary		Secondary		Eastern	http://userannotation/na	Rugby	http://dbpedia.org/page/Borough_of_Rugby	18,5		8,3		1,3		28,7		5,8		1,5		25,8		6,6		1,4	
1000		Atherstone Early Years Centre	http://userannotation/na	Nursery	http://dbpedia.org/page/Nursery_school	Nursery	http://dbpedia.org/page/Nursery_school	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	0		1,2		0		0		4,3		0		0		0		0	
3007		Austrey C.Of E. Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	North Warwickshire		North Warwickshire		7,8		7,8		1		12,7		5,9		1		13,5		2,9		1	
4190		Aylesford School. A specialist Language and Music College	http://dbpedia.org/page/Aylesford_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	18,9		2,2		2,7		19,4		3,2		2,3		11,4		2,5		2,3	
3587		Barford St. Peter's C.Of E. Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern		Warwick		10,3		6		1,7		15,8		6,1		0,9		21,7		5,2		1,7	
2423		Bawnmore Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	8,6		5,7		1,7		5,2		2,3		1,7		5,1		2,2		0,6	
1001		Bedworth Early Years Centre and Nursery		Nursery	http://dbpedia.org/page/Nursery_school	Nursery	http://dbpedia.org/page/Nursery_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	16,2		2,9		0		10,9		0		0		11,1		3,7		0	
1002		Bedworth Heath Nursery School and Children's Centre		Nursery		Nursery		Nuneaton & Bedworth		Nuneaton and Bedworth		12,5		11,3		0		8,8		2,5		0		13,9		6,3		0	
3011		Bidford-On-Avon C.Of E. Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	17,7		1,2		0,8		13,8		2,6		0,4		13,8		1,7		1	
3205		Bilton C.Of E. Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	9		5,1		1,3		7,9		7,1		2,3		9,1		6,8		2,8	
2420		Bilton Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Eastern		Rugby		4,5		10,8		2,5		1,8		11,2		4,1		10,2		11,9		4	
4238		Bilton School A Maths and Computing College	http://dbpedia.org/page/Bilton_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Eastern		Rugby		11,2		1,9		3		14,5		4,2		2,2		12,5		7,3		1,7	
2626		Binley Woods Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Eastern		Rugby		8,7		3,4		1		14,8		3,6		1		13,6		2,4		1	
2619		Birchwood Primary School		Primary		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	13,2		7,7		1,2		19,8		5,8		1,5		15,6		6,2		1,2	
2014		Bishops Itchington Primary School		Primary		Primary		Central	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	23,5		5,9		1,3		22,4		7,7		2,1		17,8		9,3		3,1	
3141		Bishops Tachbrook C.Of E. Primary School		Primary		Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	7,4		4,4		1,5		10,8		5,1		1		14,1		4,5		0,5	
2603		Bishopton Primary School		Primary		Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	14,4		13,7		1,4		8,3		16,6		2,1		18		17,3		0,7	
2598		Boughton Leigh Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	11,2		3,5		1,8		20,1		3		1,8		4,6		10,3		1,5	
2590		Boughton Leigh Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Eastern		Rugby		19		6,2		2,4		19,7		8,3		2,1		22,2		7		2,3	
3215		Bournebrook C.Of E. Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	5,9		7,2		0,7		4,4		8,2		1,3		4,7		8,7		0	
3014		Brailes C.Of E. Primary School		Primary		Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	3,7		16		1,2		9,7		12,9		1,1		4,7		16,3		0	
2327		Briar Hill Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	1,9		4,2		1,1		2,2		3		2,2		2,6		2,6		1,5	
2053		Bridge Town Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	4,9		9,1		2,3		5,8		9,4		1,6		9,4		7,8		1,3	
7023		Brooke School		Special	http://dbpedia.org/page/Special_education	Special	http://dbpedia.org/page/Special_education	Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	0		0,7		87,6		0		0,7		88,1		0		0		89,3	
2330		Brookhurst Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Central		Warwick	http://dbpedia.org/page/Warwick_District	18		3,3		0,3		19,4		1,1		0,3		25,3		2,5		0,5	
2616		Brownsover Community School		Infant	http://dbpedia.org/page/Infant_school	Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	4,6		2,5		0,5		5,8		4,8		1,1		5,5		3,5		1	
2329		Budbrooke Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	15,5		3,8		0		9,1		4,4		0		7,3		2,9		0	
3143		Burton Green C.Of E. Primary School		Primary		Primary		Central		Warwick		5,1		9,1		0		4		6,1		0		1		7,9		0	
2640		Camp Hill Primary School		Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	27,2		18,5		2,8		26,9		20,7		1,8		26,9		19		2,4	
4192		Campion School	http://dbpedia.org/page/Campion_School,_Leamington_Spa	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	23,9		4,7		2,7		25		4,5		2,6		24,9		5,7		3,1	
3315		Canon Evans C.Of E. Infant School	http://userannotation/na	Infant	http://dbpedia.org/page/Infant_school	Primary	http://dbpedia.org/page/Primary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	11,4		5,5		0,4		7,3		3,4		1,3		6,5		2,4		0,4	
3302		Canon Maggs C.Of E. Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Nuneaton & Bedworth		Nuneaton and Bedworth		10,1		5,9		1,4		8,6		5,5		2,3		9,2		3		3,6	
3594		Cawston Grange Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Eastern	http://userannotation/na	Rugby	http://dbpedia.org/page/Borough_of_Rugby	7,1		7,6		1,3		4,3		7,8		2,2		4,3		9,1		3	
2581		Chetwynd Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	11,5		6,9		0,5		11,7		7,3		1,4		13,6		6,7		0,9	
2103		Chilvers Coton Community Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Nuneaton & Bedworth		Nuneaton and Bedworth		7,9		9,1		0		10,7		6,7		0		9,9		6		0,7	
2312		Clapham Terrace Community Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	22		14,8		2,2		19,3		12,4		1,8		18		11,3		1,5	
2017		Claverdon Primary School		Primary		Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	9,7		5,4		1,1		10,9		5,1		1,7		8		5,3		1,6	
3177		Clifton-Upon-Dunsmore C.Of E. Primary School		Primary		Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	2,7		3,6		1,4		4,4		3,1		1,3		3,1		3,6		0,4	
2308		Clinton Primary School		Primary		Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	5,6		4,6		1,5		5,1		4,6		2		3,3		4,8		3,8	
3586		Coleshill C.Of E. Primary School	http://dbpedia.org/page/Coleshill_School	Primary		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	16,6		2,3		3		14,9		2,8		1		11,2		1,7		2	
2623		Coten End Primary School	http://dbpedia.org/page/Coten_End_Primary_School	Primary		Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	5		4,8		1,1		4,5		4,1		0,9		7,5		3,4		0,9	
3021		Coughton C.Of E. Primary School	http://userannotation/na	Primary		Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	2,2		2,9		0,7		1,5		6,6		0,7		1,5		6		0,7	
2601		Croft Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	18,6		10,9		0,6		19,9		8,3		1		18,9		8		2,1	
3144		Cubbington C.Of E. Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	5,5		2		4		8,1		3		4,6		6,5		6		4	
2502		Curdworth Primary School		Primary		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	8,2		4,1		1		9,9		4		5		10,3		2,8		7,5	
2018		Dordon Community Primary School		Primary		Primary		North Warwickshire		North Warwickshire		11,8		18,4		2,2		6,5		12		5,6		6,9		14,7		2,9	
3391		Dunchurch Boughton C.Of E. (Voluntary Aided) Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Eastern	http://userannotation/na	Rugby	http://dbpedia.org/page/Borough_of_Rugby	5,2		4,1		3,4		7,7		5		3,1		7,9		3,4		2,6	
5204		Dunchurch Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Eastern		Rugby		15,2		2,6		1,3		11,7		2,3		3,5		10,6		0,6		2,9	
5203		Dunnington C Of E Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	2,8		5,5		0		3,7		4,6		0		2,9		4,8		0	
2415		Eastlands Primary School		Primary		Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	8,8		6,4		1		5		6,5		1,5		7,7		3,8		1	
2332		Emscote Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	30,3		4,1		4,9		23,3		8,2		3,8		24,5		10,3		0,6	
3564		English Martyrs Catholic Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	7,6		2,4		0,5		3,8		2,9		0		4,7		2,8		0,5	
4004		Etone Technology Language Vocational College	http://dbpedia.org/page/Etone_College	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	20		1,7		3,3		22,9		3		3		16,8		3		3	
3024		Ettington C.Of E. Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	4		5,3		0,7		6,1		6,8		0,7		5,2		7,8		0,6	
2635		Exhall Cedars Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	4,9		4,9		1,8		2,6		6,8		0,5		4,4		2,9		0,5	
7000		Exhall Grange School and Science College	http://dbpedia.org/page/Exhall_Grange_School	Special	http://dbpedia.org/page/Special_education	Special	http://dbpedia.org/page/Special_education	Nuneaton & Bedworth		Nuneaton and Bedworth		7,4		0		92,6		7,7		0		92,3		6,2		0		93,8	
2107		Galley Common Infant School	http://userannotation/na	Infant	http://dbpedia.org/page/Infant_school	Primary	http://dbpedia.org/page/Primary_school	Nuneaton & Bedworth		Nuneaton and Bedworth		9,7		3		3		15,3		1,6		3,2		11,7		2,3		2,3	
2585		Glendale Infant School		Infant		Primary		Nuneaton & Bedworth		Nuneaton and Bedworth		10,9		2,7		0,5		8,3		4,4		0,9		5,9		4,6		1,4	
2634		Goodyers End Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Nuneaton & Bedworth		Nuneaton and Bedworth		20,5		5,4		1,6		16,9		11,1		2,2		9,6		7,8		2,2	
2024		Great Alne Primary School		Primary		Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	2,6		8,7		0,9		1,8		9,8		0		3,5		8,8		1,8	
2002		Gun Hill Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	16,4		6,4		0		12,8		3,7		0,9		10,9		2,7		0,9	
3031		Hampton Lucy C.Of E. Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	1		8,3		6,3		2		9,9		7,9		0		7,2		7,2	
3032		Harbury C.Of E. Primary School		Primary		Primary		Central		Stratford on Avon		6,1		3,1		0,5		6,1		4,6		0,5		10,7		2		0	
4802		Harris School	http://dbpedia.org/page/Harris_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	8,5		6,8		5,7		11,1		5,5		5,2		13,2		4,2		4,6	
5402		Hartshill School	http://userannotation/na	Secondary		Secondary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	14		2,7		1,2		14,3		2,8		1,4		11,9		1,1		1,3	
5200		Haselor School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	23,7		2,2		1,1		19,6		3,1		0		16,9		1,2		1,2	
4108		Henley-In-Arden High School		Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Southern		Stratford on Avon		12,2		12,4		2,3		12,1		13,9		2,1		1,5		9,6		1,6	
2031		Henley-In-Arden Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern		Stratford on Avon		6,1		8,5		1,8		9,8		7,5		2,9		9,9		7,7		2,7	
2424		Henry Hinde Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	14		5,1		3,2		20,5		2,9		1,2		13,7		4		0,6	
2588		Henry Hinde Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Eastern		Rugby		13,6		9,2		2,2		12,9		10,3		2,6		8,7		7,6		3	
2594		Herbert Fowler Junior School		Junior		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	1,9		19,6		2,8		0		7,1		3,1		19,4		2,2		2,2	
2569		High Meadow Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		North Warwickshire		North Warwickshire		4,2		2,8		2,8		2,7		5,4		1,4		6,1		4,9		1,2	
4153		Higham Lane School A Business and Enterprise College	http://dbpedia.org/page/Higham_Lane_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	9,7		4		1,2		11,2		4		1,7		12		5,2		1,1	
2628		Hillmorton Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Eastern	http://userannotation/na	Rugby	http://dbpedia.org/page/Borough_of_Rugby	14		15,5		4,5		10,3		14,4		3,1		12,2		12,2		4,6	
2032		Hurley Primary School	http://dbpedia.org/page/Hurley_Primary_School	Primary		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	14		10,1		0		48,2		8,8		0		38,7		6		0,7	
3035		Ilmington C.Of E. Primary School	http://userannotation/na	Primary		Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	14,4		1,9		0		13,3		2,7		0,9		13,8		3,7		0,9	
1020		Kenilworth Children's Centre and Nursery School		Nursery	http://dbpedia.org/page/Nursery_school	Nursery	http://dbpedia.org/page/Nursery_school	Central		Warwick	http://dbpedia.org/page/Warwick_District	7,6		1,3		0		1,3		6,5		0		2,5		4,9		0	
4236		Kenilworth School and Sports College	http://dbpedia.org/page/Kenilworth_School_and_Sports_College	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Central		Warwick		8,7		1,7		1		8,6		3,1		1,3		10,6		3,4		1,4	
2613		Keresley Newland Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	14,9		3,4		2,3		6,1		6,1		2,8		7,6		6,6		2,5	
3308		Kineton C.Of E. (Voluntary Aided) Primary School		Primary		Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	11,6		5,2		1,7		12,1		7,3		3		8,6		4,9		1,8	
4110		Kineton High School, A Specialist Sports College	http://dbpedia.org/page/Kineton_High_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Southern		Stratford on Avon		22,6		3,8		2,2		22,5		3,8		2,3		20,4		2,6		2,1	
4601		King Edward VI School	http://dbpedia.org/page/King_Edward_VI_School_Stratford-upon-Avon	Secondary		Secondary		Southern		Stratford on Avon		0,2		0,2		0,2		1,3		0,4		0,6		2,2		0,2		0,7	
3596		Kingsbury Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	7,8		4,4		2,4		6,2		5,5		2,4		5,5		5,1		0,4	
4111		Kingsbury School, a Specialist Science and Mathematics College	http://dbpedia.org/page/Kingsbury_School,_Warwickshire	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	North Warwickshire		North Warwickshire		10,2		2,8		2,6		10,8		4,3		2,8		10,9		4		2,4	
2638		Kingsway Community Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	16,4		14,5		4,5		16,2		18,1		3,8		11,2		19		2,6	
3590		Knightlow C.Of E. Primary School		Primary		Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	13,8		3,3		3,3		12		3,3		1,6		15		3,7		1,1	
3147		Lapworth C.Of E. Primary School		Primary		Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	4,2		6,3		0		1,4		5		0,7		1,4		6,8		0,7	
4620		Lawrence Sheriff School	http://dbpedia.org/page/Lawrence_Sheriff_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	1,7		0,8		0,6		1,9		0,9		0,7		1,7		1,7		0,6	
3180		Leamington Hastings C.Of E. Infant School	http://userannotation/na	Infant	http://dbpedia.org/page/Infant_school	Primary	http://dbpedia.org/page/Primary_school	Eastern		Rugby		7,7		5,1		2,6		18,6		9,3		2,3		15,4		20,5		2,6	
2064		Lighthorne Heath Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	25,9		32,9		2,4		26		12,3		1,4		13,2		7,9		1,3	
2621		Lillington Nursery and Primary School		Primary		Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	19,4		18,1		7,6		16,4		21,6		6		16,6		12,3		3,2	
3211		Long Itchington Primary School		Primary		Primary		Central		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	4,5		8,4		1,9		2		9,8		2		3,4		8,1		2,7	
2405		Long Lawford Primary School		Primary		Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	2,4		3,8		2,4		2,5		7,1		1,5		6,7		3,3		0,5	
3040		Loxley C.Of E. Community Primary School		Primary		Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	7,7		12,8		2,6		11,4		11,4		5,7		12		4		12	
