Financial_Year	http://userannotation/na	Force_Name	http://dbpedia.org/page/Category:Law_enforcement_in_the_United_Kingdom	Offence_Group	http://dbpedia.org/page/Category:Criminology	Force_Offences	http://userannotation/na	Force_No_Crimes	http://userannotation/na
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	4790	http://userannotation/number	214	http://userannotation/number
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Other offences	http://userannotation/na	500	http://userannotation/number	69	http://userannotation/number
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Other theft offences	http://en.wikipedia.org/wiki/Theft	10376	http://userannotation/number	244	http://userannotation/number
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Robbery	http://en.wikipedia.org/wiki/Robbery	851	http://userannotation/number	45	http://userannotation/number
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	67	http://userannotation/number	8	http://userannotation/number
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	349	http://userannotation/number	25	http://userannotation/number
2011/12	http://userannotation/number	Bedfordshire	http://en.wikipedia.org/wiki/Bedfordshire_Police	Violence against the person	http://en.wikipedia.org/wiki/Violence	8243	http://userannotation/number	256	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Burglary	http://en.wikipedia.org/wiki/Burglary	645	http://userannotation/number	20	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	5421	http://userannotation/number	184	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	3593	http://userannotation/number	47	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	860	http://userannotation/number	21	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	1953	http://userannotation/number	139	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Other offences	http://userannotation/na	1149	http://userannotation/number	51	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Other theft offences	http://en.wikipedia.org/wiki/Theft	25732	http://userannotation/number	1554	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Robbery	http://en.wikipedia.org/wiki/Robbery	607	http://userannotation/number	58	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	14	http://userannotation/number	3	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	740	http://userannotation/number	22	http://userannotation/number
2011/12	http://userannotation/number	British Transport Police	http://en.wikipedia.org/wiki/British_Transport_Police	Violence against the person	http://en.wikipedia.org/wiki/Violence	12238	http://userannotation/number	226	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Burglary	http://en.wikipedia.org/wiki/Burglary	6297	http://userannotation/number	108	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	8232	http://userannotation/number	197	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	2994	http://userannotation/number	147	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	1893	http://userannotation/number	292	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	4790	http://userannotation/number	141	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Other offences	http://userannotation/na	697	http://userannotation/number	120	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Other theft offences	http://en.wikipedia.org/wiki/Theft	16483	http://userannotation/number	545	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Robbery	http://en.wikipedia.org/wiki/Robbery	417	http://userannotation/number	32	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	193	http://userannotation/number	17	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	696	http://userannotation/number	40	http://userannotation/number
2011/12	http://userannotation/number	Cambridgeshire	http://en.wikipedia.org/wiki/Cambridgeshire_Constabulary	Violence against the person	http://en.wikipedia.org/wiki/Violence	9159	http://userannotation/number	317	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Burglary	http://en.wikipedia.org/wiki/Burglary	7668	http://userannotation/number	152	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	11100	http://userannotation/number	294	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	3372	http://userannotation/number	40	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	1810	http://userannotation/number	165	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	5413	http://userannotation/number	108	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Other offences	http://userannotation/na	876	http://userannotation/number	63	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Other theft offences	http://en.wikipedia.org/wiki/Theft	16849	http://userannotation/number	570	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Robbery	http://en.wikipedia.org/wiki/Robbery	363	http://userannotation/number	15	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	216	http://userannotation/number	28	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	776	http://userannotation/number	76	http://userannotation/number
2011/12	http://userannotation/number	Cheshire	http://en.wikipedia.org/wiki/Cheshire_Constabulary	Violence against the person	http://en.wikipedia.org/wiki/Violence	11602	http://userannotation/number	371	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Burglary	http://en.wikipedia.org/wiki/Burglary	5112	http://userannotation/number	71	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	9338	http://userannotation/number	101	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	2250	http://userannotation/number	9	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	799	http://userannotation/number	51	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	3506	http://userannotation/number	24	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Other offences	http://userannotation/na	645	http://userannotation/number	21	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Other theft offences	http://en.wikipedia.org/wiki/Theft	12730	http://userannotation/number	233	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Robbery	http://en.wikipedia.org/wiki/Robbery	273	http://userannotation/number	17	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	174	http://userannotation/number	48	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	585	http://userannotation/number	62	http://userannotation/number
2011/12	http://userannotation/number	Cleveland	http://en.wikipedia.org/wiki/Cleveland_Police	Violence against the person	http://en.wikipedia.org/wiki/Violence	8297	http://userannotation/number	161	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Burglary	http://en.wikipedia.org/wiki/Burglary	2070	http://userannotation/number	82	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	6305	http://userannotation/number	210	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	1819	http://userannotation/number	160	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	576	http://userannotation/number	84	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	1544	http://userannotation/number	68	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Other offences	http://userannotation/na	478	http://userannotation/number	48	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Other theft offences	http://en.wikipedia.org/wiki/Theft	6520	http://userannotation/number	374	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Robbery	http://en.wikipedia.org/wiki/Robbery	54	http://userannotation/number	2	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	113	http://userannotation/number	13	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	408	http://userannotation/number	32	http://userannotation/number
2011/12	http://userannotation/number	Cumbria	http://en.wikipedia.org/wiki/Cumbria_Constabulary	Violence against the person	http://en.wikipedia.org/wiki/Violence	6297	http://userannotation/number	342	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Burglary	http://en.wikipedia.org/wiki/Burglary	7979	http://userannotation/number	280	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	11577	http://userannotation/number	508	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	2768	http://userannotation/number	150	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	1902	http://userannotation/number	363	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	5608	http://userannotation/number	211	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Other offences	http://userannotation/na	760	http://userannotation/number	75	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Other theft offences	http://en.wikipedia.org/wiki/Theft	16519	http://userannotation/number	934	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Robbery	http://en.wikipedia.org/wiki/Robbery	543	http://userannotation/number	24	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	280	http://userannotation/number	39	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	883	http://userannotation/number	70	http://userannotation/number
2011/12	http://userannotation/number	Derbyshire	http://en.wikipedia.org/wiki/Derbyshire_Constabulary	Violence against the person	http://en.wikipedia.org/wiki/Violence	12944	http://userannotation/number	416	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Burglary	http://en.wikipedia.org/wiki/Burglary	9887	http://userannotation/number	441	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	18098	http://userannotation/number	718	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	4996	http://userannotation/number	272	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	2539	http://userannotation/number	825	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	7176	http://userannotation/number	399	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Other offences	http://userannotation/na	1789	http://userannotation/number	229	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Other theft offences	http://en.wikipedia.org/wiki/Theft	22375	http://userannotation/number	1835	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Robbery	http://en.wikipedia.org/wiki/Robbery	499	http://userannotation/number	42	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	626	http://userannotation/number	64	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	1899	http://userannotation/number	131	http://userannotation/number
2011/12	http://userannotation/number	Devon & Cornwall	http://en.wikipedia.org/wiki/Devon_and_Cornwall_Police	Violence against the person	http://en.wikipedia.org/wiki/Violence	22550	http://userannotation/number	1086	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Burglary	http://en.wikipedia.org/wiki/Burglary	5502	http://userannotation/number	110	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	7972	http://userannotation/number	242	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	1638	http://userannotation/number	164	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	1316	http://userannotation/number	166	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	4601	http://userannotation/number	137	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Other offences	http://userannotation/na	632	http://userannotation/number	205	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Other theft offences	http://en.wikipedia.org/wiki/Theft	14349	http://userannotation/number	456	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Robbery	http://en.wikipedia.org/wiki/Robbery	237	http://userannotation/number	11	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	165	http://userannotation/number	20	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	604	http://userannotation/number	56	http://userannotation/number
2011/12	http://userannotation/number	Dorset	http://en.wikipedia.org/wiki/Dorset_Police	Violence against the person	http://en.wikipedia.org/wiki/Violence	8297	http://userannotation/number	431	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Burglary	http://en.wikipedia.org/wiki/Burglary	4735	http://userannotation/number	128	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	7821	http://userannotation/number	227	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	1434	http://userannotation/number	58	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	640	http://userannotation/number	56	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	3626	http://userannotation/number	84	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Other offences	http://userannotation/na	631	http://userannotation/number	84	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Other theft offences	http://en.wikipedia.org/wiki/Theft	9724	http://userannotation/number	299	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Robbery	http://en.wikipedia.org/wiki/Robbery	103	http://userannotation/number	14	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	125	http://userannotation/number	13	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	432	http://userannotation/number	25	http://userannotation/number
2011/12	http://userannotation/number	Durham	http://en.wikipedia.org/wiki/Durham_Constabulary	Violence against the person	http://en.wikipedia.org/wiki/Violence	6185	http://userannotation/number	343	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Burglary	http://en.wikipedia.org/wiki/Burglary	1715	http://userannotation/number	38	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	4139	http://userannotation/number	73	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	3335	http://userannotation/number	55	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	635	http://userannotation/number	52	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	1177	http://userannotation/number	29	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Other offences	http://userannotation/na	337	http://userannotation/number	9	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Other theft offences	http://en.wikipedia.org/wiki/Theft	4427	http://userannotation/number	140	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Robbery	http://en.wikipedia.org/wiki/Robbery	37	http://userannotation/number	2	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Sexual offences which are rape	http://en.wikipedia.org/wiki/Rape_in_English_law	111	http://userannotation/number	11	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Total Sexual offences	http://en.wikipedia.org/wiki/Sexual_offences	368	http://userannotation/number	15	http://userannotation/number
2011/12	http://userannotation/number	Dyfed-Powys	http://en.wikipedia.org/wiki/Dyfed-Powys_Police	Violence against the person	http://en.wikipedia.org/wiki/Violence	4993	http://userannotation/number	118	http://userannotation/number
2011/12	http://userannotation/number	Essex	http://en.wikipedia.org/wiki/Essex_Police	Burglary	http://en.wikipedia.org/wiki/Burglary	14011	http://userannotation/number	121	http://userannotation/number
2011/12	http://userannotation/number	Essex	http://en.wikipedia.org/wiki/Essex_Police	Criminal damage	http://en.wikipedia.org/wiki/Criminal_damage	16683	http://userannotation/number	262	http://userannotation/number
2011/12	http://userannotation/number	Essex	http://en.wikipedia.org/wiki/Essex_Police	Drug offences	http://en.wikipedia.org/wiki/Drug_offences	4207	http://userannotation/number	18	http://userannotation/number
2011/12	http://userannotation/number	Essex	http://en.wikipedia.org/wiki/Essex_Police	Fraud and forgery	http://en.wikipedia.org/wiki/Fraud	3095	http://userannotation/number	494	http://userannotation/number
2011/12	http://userannotation/number	Essex	http://en.wikipedia.org/wiki/Essex_Police	Offences against vehicles	http://en.wikipedia.org/wiki/West_Midlands_Police	12889	http://userannotation/number	271	http://userannotation/number
