Location	http://dbpedia.org/page/Category:Categories_by_geographical_location	Map Ref	http://userannotation/na	X Coordinate	http://userannotation/na	Y Coordinate	http://userannotation/na	Mobile	http://userannotation/na	Route	http://userannotation/na	Number	http://userannotation/na	Stop Name	http://userannotation/na	Sheltered Location	http://userannotation/na	Arrive	http://dbpedia.org/page/Category:Time	Depart	http://dbpedia.org/page/Category:Time	Stay	http://dbpedia.org/page/Category:Time	Day of the week	http://userannotation/na	Week No	http://userannotation/na		
Gaydon	http://dbpedia.org/page/Gaydon	123		436509		253988		Southam	http://dbpedia.org/page/Southam	O		7		Village Shop		No		13:50		14:10		20		Thursday	http://dbpedia.org/page/Thursday	3			
Gaydon		123		436274		253924		Southam		O		8		St Mark's Close		No		14:15		14:35		20		Thursday		3			
Gaydon		123		435338		255281		Southam		O		6		Woodland Nursery, Aston Martin Site		No		13:00		13:45		45		Thursday		3			
Grandborough	http://dbpedia.org/page/Grandborough	116		449110		266829		Southam		N		5		Shoulder of Mutton		No		11:25		11:45		20		Wednesday	http://dbpedia.org/page/Wednesday	3			
Great Wolford	http://userannotation/na	140		424790		234473		Alcester	http://dbpedia.org/page/Alcester	B		1		Fox and Hounds		No		09:45		10:05		20		Tuesday	http://dbpedia.org/page/Tuesday	1			
Halford	http://dbpedia.org/page/Halford,_Warwickshire	137		426144		245474		Alcester		D		6		Stour View		No		12:00		12:25		25		Thursday	http://dbpedia.org/page/Thursday	1			
Hampton Lucy	http://dbpedia.org/page/Hampton_Lucy	122		426457		256829		Kenilworth	http://dbpedia.org/page/Kenilworth	E		6		opp Boars Head		No		14:00		14:20		20		Friday	http://dbpedia.org/page/Friday	1			
Hampton Magna	http://dbpedia.org/page/Budbrooke	114		425620		264821		Kenilworth		B		4		Damson Road		No		11:35		11:55		20		Tuesday	http://dbpedia.org/page/Tuesday	1			
Hampton Magna			http://userannotation/na	425923		265071		Kenilworth		B		3		Cawston House -  Styles Close		No		10:20		11:15		55		Tuesday		1			
Hampton Magna				425915		265046		Kenilworth		B		2		Budbrooke Nursery		No		10:00		10:15		15		Tuesday		1			
Hampton on the Hill				425283		263985		Kenilworth		B		5		Hampton Croft Bungalows		Yes		12:05		13:00		55		Tuesday		1			
