Department	http://userannotation/na	Entity	http://userannotation/na	Date	http://dbpedia.org/page/Category:Dates	Expense Type	Expense Area	http://userannotation/na	Supplier	http://userannotation/na	Transaction Number	http://userannotation/na	Amount	http://userannotation/na
Home Office		Home Office		31.08.2011		Telecoms	Performance & Finance Directorate		BRITISH TELECOMMUNICATIONS LTD		1001150858		-1	
Home Office		Home Office		26.08.2011		IT	Performance & Finance Directorate		CABLE & WIRELESS	http://dbpedia.org/page/Cable_%26_Wireless_Worldwide	1001149974		35987	
Home Office		Home Office		16.08.2011		Transport	Performance & Finance Directorate		CENTRAL DESPATCH	http://userannotation/na	1001145849		38971	
Home Office		Home Office		19.08.2011		Rent & Rates	Performance & Finance Directorate		DTZ DEBENHAM TIE LEUNG LTD	http://dbpedia.org/page/DTZ	1001147471		39834	
Home Office		Home Office		19.08.2011		Rent & Rates	Performance & Finance Directorate		DTZ DEBENHAM TIE LEUNG LTD		1001147470		1028404	
Home Office		Home Office		25.08.2011		Rent & Rates	Performance & Finance Directorate		DTZ DEBENHAM TIE LEUNG LTD		1001149517		95558	
Home Office		Home Office		05.08.2011		Rent & Rates	Performance & Finance Directorate		DTZ DEBENHAM TIE LEUNG LTD		1001142462		108666	
Home Office		Home Office		19.08.2011		Rent & Rates	Performance & Finance Directorate		DTZ DEBENHAM TIE LEUNG LTD		1001147469		2362392	
Home Office		Home Office		25.08.2011		Rent & Rates	Performance & Finance Directorate		DTZ DEBENHAM TIE LEUNG LTD		1001149516		29394	
Home Office		Home Office		08.08.2011		Utilities.Electric utilities - ADMN	Performance & Finance Directorate		EDF ENERGY	http://dbpedia.org/page/EDF_Energy	1001142924		104565	
Home Office		Home Office		22.08.2011		IT	Performance & Finance Directorate		FUJITSU SERVICES (ALCEDO) LTD		1001147963		2846102	
Home Office		Home Office		22.08.2011		IT	Performance & Finance Directorate		FUJITSU SERVICES (ALCEDO) LTD		1001147963		309098	
Home Office		Home Office		22.08.2011		IT	Performance & Finance Directorate		FUJITSU SERVICES (ALCEDO) LTD		1001147963		311086	
Home Office		Home Office		22.08.2011		IT	Performance & Finance Directorate		FUJITSU SERVICES (ALCEDO) LTD		1001147963		-111655	
Home Office		Home Office		22.08.2011		IT	Performance & Finance Directorate		FUJITSU SERVICES (ALCEDO) LTD		1001147963		-71297	
Home Office		Home Office		22.08.2011		IT	Performance & Finance Directorate		FUJITSU SERVICES (ALCEDO) LTD		1001147964		650000	
Home Office		Home Office		31.08.2011		IT	Performance & Finance Directorate		FUJITSU SERVICES (ALCEDO) LTD		6200017418		-4074	
Home Office		Home Office		22.08.2011		IT	Performance & Finance Directorate		FUJITSU SERVICES LIMITED		1001147965		581251	
Home Office		Home Office		16.08.2011		Utilities.Pay Phone Provider Serv - PROG	Performance & Finance Directorate		GLOBAL CROSSING	http://dbpedia.org/page/Global_Crossing	1001145872		56928	
Home Office		Home Office		16.08.2011		Telecoms	Performance & Finance Directorate		GLOBAL CROSSING		1001145872		0	
Home Office		Home Office		16.08.2011		Utilities.Telephone Comms - PROG	Performance & Finance Directorate		GLOBAL CROSSING		1001145872		41115	
Home Office		Home Office		10.08.2011		IT	Performance & Finance Directorate		GOVERNMENT PROCUREMENT SERVICE	http://dbpedia.org/page/Crown_Commercial_Service	3000043251		96151	
Home Office		Home Office		01.08.2011		IT	Performance & Finance Directorate		GOVERNMENT PROCUREMENT SERVICE		3000043202		302413	
Home Office		Home Office		26.08.2011		IT	Performance & Finance Directorate		GOVERNMENT PROCUREMENT SERVICE		3000043363		1456897	
Home Office		Home Office		11.08.2011		Building	Performance & Finance Directorate		HERMAN MILLER LTD	http://dbpedia.org/page/Herman_Miller_(manufacturer)	1001144401		99016	
Home Office		Home Office		16.08.2011		IT	Performance & Finance Directorate		HEWLETT PACKARD	http://dbpedia.org/page/Hewlett-Packard	1001145878		52225	
Home Office		Home Office		16.08.2011		IT	Performance & Finance Directorate		HEWLETT PACKARD		1001145878		43194	
Home Office		Home Office		16.08.2011		IT	Performance & Finance Directorate		HEWLETT PACKARD		1001145878		28741	
Home Office		Home Office		16.08.2011		IT	Performance & Finance Directorate		HEWLETT PACKARD		1001145878		11948	
Home Office		Home Office		16.08.2011		IT	Performance & Finance Directorate		HEWLETT PACKARD		1001145878		25366	
Home Office		Home Office		01.08.2011		IT	Performance & Finance Directorate		HM PRISON SERVICE	http://dbpedia.org/page/Her_Majesty's_Prison_Service	3000043200		521076	
Home Office		Home Office		15.08.2011		IT	Performance & Finance Directorate		HM PRISON SERVICE		3000043270		242907	
Home Office		Home Office		15.08.2011		IT	Performance & Finance Directorate		HM PRISON SERVICE		3000043270		158716	
Home Office		Home Office		15.08.2011		IT	Performance & Finance Directorate		HM PRISON SERVICE		3000043270		247819	
Home Office		Home Office		25.08.2011		IT	Performance & Finance Directorate		HM PRISON SERVICE		3000043356		629764	
Home Office		Home Office		30.08.2011		IT	Performance & Finance Directorate		HM PRISON SERVICE		3000043374		-629764	
Home Office		Home Office		30.08.2011		IT	Performance & Finance Directorate		HM PRISON SERVICE		3000043374		629764	
Home Office		Home Office		30.08.2011		IT	Performance & Finance Directorate		HM PRISON SERVICE		3000043374		199580	
Home Office		Home Office		31.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT	http://dbpedia.org/page/Interserve	6200017419		-32174	
Home Office		Home Office		10.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001144008		-107093	
Home Office		Home Office		12.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001144930		50013	
Home Office		Home Office		02.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001140626		70602	
Home Office		Home Office		03.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001141618		173948	
Home Office		Home Office		03.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001141618		135978	
Home Office		Home Office		03.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001141618		15010	
Home Office		Home Office		24.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001149091		56194	
Home Office		Home Office		22.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001147974		51026	
Home Office		Home Office		12.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001144930		403757	
Home Office		Home Office		31.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		6200017419		37805	
Home Office		Home Office		04.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001142096		226556	
Home Office		Home Office		04.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001142096		92561	
Home Office		Home Office		04.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001142096		82143	
Home Office		Home Office		04.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001142096		647666	
Home Office		Home Office		04.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001142096		493819	
Home Office		Home Office		04.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001142096		606307	
Home Office		Home Office		12.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001144930		40696	
Home Office		Home Office		03.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001141618		53224	
Home Office		Home Office		03.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001141618		28377	
Home Office		Home Office		03.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001141618		62341	
Home Office		Home Office		10.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001144008		621138	
Home Office		Home Office		10.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001144008		77821	
Home Office		Home Office		15.08.2011		Building	Performance & Finance Directorate		INTERSERVE FACILITIES MANAGEMENT		1001145321		47557	
Home Office		Home Office		09.08.2011		Building	 Construction Service - PROG		Performance & Finance Directorate		1001143448		1001143448	
Home Office		Home Office		18.08.2011		Building	Performance & Finance Directorate		NEW HALL PLACE UNIT TRUST		1001147102		343072	
Home Office		Home Office		24.08.2011		Building	Performance & Finance Directorate		OFFICE PROJECTS LIMITED		1001149112		358180	
Home Office		Home Office		30.08.2011		IT	Performance & Finance Directorate		SAVVIS UK LTD	http://dbpedia.org/page/Savvis	1001150478		43828	
Home Office		Home Office		02.08.2011		IT	Performance & Finance Directorate		SAVVIS UK LTD		1001140689		145489	
Home Office		Home Office		02.08.2011		IT	Performance & Finance Directorate		SAVVIS UK LTD		1001140689		495	
Home Office		Home Office		22.08.2011		IT	Performance & Finance Directorate		SAVVIS UK LTD		1001148002		39182	
Home Office		Home Office		05.08.2011		IT	Performance & Finance Directorate		SAVVIS UK LTD		1001142511		145489	
Home Office		Home Office		05.08.2011		IT	Performance & Finance Directorate		SAVVIS UK LTD		1001142511		56662	
Home Office		Home Office		04.08.2011		Science	Home Office Science		REACT ENGINEERING LTD	http://userannotation/na	1001142119		30000	
Home Office		Home Office		17.08.2011		Science	Home Office Science		SMITHS DETECTION INTERNATIONAL UK	http://dbpedia.org/page/Smiths_Group	1001146688		43326	
Home Office		Home Office		31.08.2011		Science	Home Office Science		IMPERIAL COLLEGE LONDON	http://dbpedia.org/page/Imperial_College_London	1001150882		55500	
Home Office		Home Office		05.08.2011		Published Products.Printed publications - PROG	Home Office Science		HM PRISON SERVICE	http://dbpedia.org/page/Her_Majesty's_Prison_Service	3000043228		37621	
Home Office		Home Office		12.08.2011		Science	Home Office Science		CT CENTRE (MOD) T/A DSTL	http://userannotation/na	1001144910		31828	
Home Office		Home Office		04.08.2011		IT	Home Office Science		ALTIUS CONSULTING LTD		1001142059		37437	
Home Office		Home Office		02.08.2011		Social Research	Home Office Science		GVA GRIMLEY	http://dbpedia.org/page/GVA_(Commercial_Property_Advisers)	1001140609		29556	
Home Office		Home Office		04.08.2011		Management & Admin Serv.Marketing Services - ADMN	Home Office Science		TNS-BMRB	http://userannotation/na	1001142143		370590	
Home Office		Home Office		24.08.2011		Education & Training Services.Training Dev External - ADMN	Group HR		DEPARTMENT FOR WORK & PENSIONS (DWP)	http://dbpedia.org/page/Department_for_Work_and_Pensions	3000043349		25315	
Home Office		Home Office		01.08.2011		Other Government Departments	Group HR		CABINET OFFICE	http://dbpedia.org/page/Cabinet_Office	3000043192		33225	
Home Office		Home Office		01.08.2011		Other Government Departments	Group HR		CABINET OFFICE		3000043192		2768	
Home Office		Home Office		01.08.2011		Other Government Departments	Group HR		CABINET OFFICE		3000043192		7243	
Home Office		Home Office		15.08.2011		Professional & Admin Services.Personnel Recruit Serv - ADMN	Group HR		FCO SERVICES	http://dbpedia.org/page/FCO_Services	3000043267		29106	
Home Office		Home Office		08.08.2011		Education & Training Services.Training Dev External - ADMN	Group HR		CABINET OFFICE	http://dbpedia.org/page/Cabinet_Office	3000043234		371786	
Home Office		Home Office		08.08.2011		Education & Training Services.Training Dev External - ADMN	Group HR		CABINET OFFICE		3000043234		164375	
Home Office		Home Office		08.08.2011		Education & Training Services.Training Dev External - ADMN	Group HR		CABINET OFFICE		3000043234		356379	
Home Office		Home Office		08.08.2011		Other Government Departments	Group HR		CABINET OFFICE		3000043234		1	
Home Office		Home Office		25.08.2011		Professional & Admin Services.DWP MyCSP Pension admin fee	Group HR		DEPARTMENT FOR WORK & PENSIONS (DWP)	http://dbpedia.org/page/Department_for_Work_and_Pensions	3000043354		129441	
Home Office		UKBA - UK Border Agency	http://dbpedia.org/page/UK_Border_Agency	10.08.2011		Messenger	UKBA - UK Border Agency	http://dbpedia.org/page/UK_Border_Agency	METROPOLITAN POLICE AUTHORITY	http://dbpedia.org/page/Metropolitan_Police_Authority	1001144015		37500	
Home Office		UKBA - UK Border Agency		02.08.2011		Publishing & Media Design Serv.Print Engrave & Photocopy-PROG	UKBA - UK Border Agency		3M SECURITY PRINTING & SYSTEMS LTD	http://userannotation/na	1001140530		29120	
Home Office		UKBA - UK Border Agency		03.08.2011		Publishing & Media Design Serv.Print Engrave & Photocopy-PROG	UKBA - UK Border Agency		3M SECURITY PRINTING & SYSTEMS LTD		1001141588		214500	
Home Office		UKBA - UK Border Agency		02.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		ANGEL GROUP		1001140545		115181	
Home Office		UKBA - UK Border Agency		02.08.2011		Politics & Civic Affairs.Human aid & relief Sect 4	UKBA - UK Border Agency		ANGEL GROUP		1001140545		36127	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		ANGEL GROUP		1001150413		111517	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.Human aid & relief Sect 4	UKBA - UK Border Agency		ANGEL GROUP		1001150413		35809	
Home Office		UKBA - UK Border Agency		03.08.2011		IT & Telecoms Components.Computer Equip (FA)	UKBA - UK Border Agency		ATOS ORIGIN IT SERVICES UK LIMITED	http://dbpedia.org/page/Atos	1001141595		231510	
Home Office		UKBA - UK Border Agency		03.08.2011		IT & Telecoms Components.Computer Equip (FA)	UKBA - UK Border Agency		ATOS ORIGIN IT SERVICES UK LIMITED		1001141595		110722	
Home Office		UKBA - UK Border Agency		22.08.2011		IT & Telecoms Components.Computer Equip (FA)	UKBA - UK Border Agency		ATOS ORIGIN IT SERVICES UK LIMITED		1001147943		175766	
Home Office		UKBA - UK Border Agency		25.08.2011		Science	UKBA - UK Border Agency		ATOS ORIGIN IT SERVICES UK LIMITED		1001149488		200000	
Home Office		UKBA - UK Border Agency		25.08.2011		Science	UKBA - UK Border Agency		ATOS ORIGIN IT SERVICES UK LIMITED		1001149488		181059	
Home Office		UKBA - UK Border Agency		25.08.2011		Science	UKBA - UK Border Agency		ATOS ORIGIN IT SERVICES UK LIMITED		1001149488		125221	
Home Office		UKBA - UK Border Agency		24.08.2011		IT	UKBA - UK Border Agency		ATOS ORIGIN IT SERVICES UK LIMITED		1001149050		203557	
Home Office		UKBA - UK Border Agency		24.08.2011		IT	UKBA - UK Border Agency		ATOS ORIGIN IT SERVICES UK LIMITED		1001149050		81038	
Home Office		UKBA - UK Border Agency		24.08.2011		Grants	UKBA - UK Border Agency		BARNSLEY MBC 1 (G)	http://userannotation/na	1001149316		39622	
Home Office		UKBA - UK Border Agency		17.08.2011		Other Government Departments	UKBA - UK Border Agency		BIRMINGHAM CITY COUNCIL	http://dbpedia.org/page/Birmingham_City_Council	1001146499		46868	
Home Office		UKBA - UK Border Agency		18.08.2011		Grants	UKBA - UK Border Agency		BIRMINGHAM CITY COUNCIL (G)		1001147326		40500	
Home Office		UKBA - UK Border Agency		03.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		CARDIFF COUNTY COUNCIL	http://dbpedia.org/page/Cardiff_Council	1001141604		247962	
Home Office		UKBA - UK Border Agency		03.08.2011		Politics & Civic Affairs.Human aid & relief Sect 4	UKBA - UK Border Agency		CARDIFF COUNTY COUNCIL		1001141604		17285	
Home Office		UKBA - UK Border Agency		26.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		CARDIFF COUNTY COUNCIL		1001149979		255628	
Home Office		UKBA - UK Border Agency		26.08.2011		Politics & Civic Affairs.Human aid & relief Sect 4	UKBA - UK Border Agency		CARDIFF COUNTY COUNCIL		1001149979		18138	
Home Office		UKBA - UK Border Agency		26.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL	http://dbpedia.org/page/Carlson_Wagonlit_Travel	1001149980		78430	
Home Office		UKBA - UK Border Agency		02.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001140568		214950	
Home Office		UKBA - UK Border Agency		17.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001146523		214950	
Home Office		UKBA - UK Border Agency		02.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001140568		174051	
Home Office		UKBA - UK Border Agency		02.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001140568		33901	
Home Office		UKBA - UK Border Agency		02.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001140568		68306	
Home Office		UKBA - UK Border Agency		04.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001142068		269243	
Home Office		UKBA - UK Border Agency		05.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001142450		93408	
Home Office		UKBA - UK Border Agency		05.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001142450		37460	
Home Office		UKBA - UK Border Agency		10.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001143984		26754	
Home Office		UKBA - UK Border Agency		10.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001143984		97832	
Home Office		UKBA - UK Border Agency		12.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001144896		155759	
Home Office		UKBA - UK Border Agency		12.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001144896		177752	
Home Office		UKBA - UK Border Agency		16.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001145848		49065	
Home Office		UKBA - UK Border Agency		18.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001147069		56334	
Home Office		UKBA - UK Border Agency		18.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001147069		161188	
Home Office		UKBA - UK Border Agency		25.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001149499		85207	
Home Office		UKBA - UK Border Agency		26.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001149980		-62120	
Home Office		UKBA - UK Border Agency		26.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001149980		150127	
Home Office		UKBA - UK Border Agency		31.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001150862		-69052	
Home Office		UKBA - UK Border Agency		31.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001150862		37286	
Home Office		UKBA - UK Border Agency		31.08.2011		Asylum Services.Public Expense Removals	UKBA - UK Border Agency		CARLSON WAGONLIT TRAVEL		1001150862		90695	
Home Office		UKBA - UK Border Agency		23.08.2011		Grants	UKBA - UK Border Agency		CENTRAL BEDFORDSHIRE COUNCIL (G)	http://dbpedia.org/page/Central_Bedfordshire_Council	1001148834		63116	
Home Office		UKBA - UK Border Agency		05.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		CITY AND COUNTY OF SWANSEA	http://dbpedia.org/page/Swansea	1001142451		76681	
Home Office		UKBA - UK Border Agency		04.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD	http://userannotation/na	1001142072		109398	
Home Office		UKBA - UK Border Agency		04.08.2011		Politics & Civic Affairs.Human aid & relief Sect 4	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001142072		32652	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		111510	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.Human aid & relief Sect 4	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		30674	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		427246	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.Emergency house services	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		311474	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.Human aid & relief Sect 4	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		198083	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		150124	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.Human aid & relief Sect 4	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		30489	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		139815	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.Human aid & relief Sect 4	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		42479	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.REFUGEE PROG. SECT 95	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		185677	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.Emergency house services	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		53577	
Home Office		UKBA - UK Border Agency		30.08.2011		Politics & Civic Affairs.Human aid & relief Sect 4	UKBA - UK Border Agency		CLEARSPRINGS MANAGEMENT LTD		1001150430		52351	
Home Office		UKBA - UK Border Agency		23.08.2011		Grants	UKBA - UK Border Agency		COVENTRY CITY COUNCIL 1 (G)	http://dbpedia.org/page/Coventry_City_Council	1001148840		57101	
Home Office		UKBA - UK Border Agency		05.08.2011		Messenger	UKBA - UK Border Agency		DEPARTMENT FOR WORK & PENSIONS (DWP)	http://dbpedia.org/page/Department_for_Work_and_Pensions	3000043224		29949	
Home Office		UKBA - UK Border Agency		18.08.2011		Professional & Admin Services.Business admin services.Consultancy -business administration	UKBA - UK Border Agency		DRIVER AND VEHICLE LICENSING AGENCY (DVLA)	http://dbpedia.org/page/Driver_and_Vehicle_Licensing_Agency	3000043286		116842	
Home Office		UKBA - UK Border Agency		18.08.2011		Professional & Admin Services.Business admin services.Consultancy -business administration	UKBA - UK Border Agency		DRIVER AND VEHICLE LICENSING AGENCY (DVLA)		3000043286		441575	
Home Office		UKBA - UK Border Agency		24.08.2011		Messenger	UKBA - UK Border Agency		DRIVER AND VEHICLE LICENSING AGENCY (DVLA)		3000043350		81857	
Home Office		UKBA - UK Border Agency		18.08.2011		Professional & Admin Services.Business admin services.Consultancy -business administration	UKBA - UK Border Agency		DRIVER AND VEHICLE LICENSING AGENCY (DVLA)		3000043286		46823	
